title,slug,url,area,phone,website,pricing_display,shared_price,private_price,care_types,services,religion,languages,subsidy,wheelchair,rating,review_count,latitude,longitude,google_maps_url,last_updated
Healthlife Old Folks Home,healthlife-old-folks-home,/facilities/healthlife-old-folks-home,,+60 19-769 9129,http://www.aixinliauyang.yolasite.com/https://www.facebook.com/AiXinLiaoYangZhongXin,Call for pricing,,,,,,,,,5.0,1,1.8482217,102.9403421,"https://www.google.com/maps/place/Healthlife+Old+Folks+Home/@1.8482216999999999,102.9403421,14z/data=!4m8!1m2!2m1!1sHealthlife+Old+Folks+Home!3m4!1s0x31d056d920901a85:0xf3371b205d2d1a36!8m2!3d1.8482216999999999!4d102.9403421",2026-04-29
Old Friends Care Center,old-friends-care-center,/facilities/old-friends-care-center,,+60 13-466 6966,,Call for pricing,,,,,,,,Yes,5.0,1,1.8491764,102.951151,"https://www.google.com/maps/place/Old+Friends+Care+Center/@1.8491764,102.951151,14z/data=!4m8!1m2!2m1!1sOld+Friends+Care+Center!3m4!1s0x31d057003acdef15:0xb3ed1e14c1aa5e1c!8m2!3d1.8491764!4d102.951151",2026-04-29
Caring Nursing Home,caring-nursing-home,/facilities/caring-nursing-home,,+60 7-435 2388,,Call for pricing,,,,,,,,,,0,1.843711,102.954467,"https://www.google.com/maps/place/Caring+Nursing+Home/@1.8437109999999999,102.954467,14z/data=!4m8!1m2!2m1!1sCaring+Nursing+Home!3m4!1s0x31d05722c8e90bf9:0xb874c07def349571!8m2!3d1.8437109999999999!4d102.954467",2026-04-29
Pusat Jagaan Warga Tua Hayati Care Centre,pusat-jagaan-warga-tua-hayati-care-centre,/facilities/pusat-jagaan-warga-tua-hayati-care-centre,,+60 11-7023 3470,,Call for pricing,,,,,,,,Yes,4.9,15,1.8619167,102.9492991,"https://www.google.com/maps/place/Pusat+Jagaan+Warga+Tua+Hayati+Care+Centre/@1.8619166999999999,102.94929909999999,14z/data=!4m8!1m2!2m1!1sPusat+Jagaan+Warga+Tua+Hayati+Care+Centre!3m4!1s0x31d05100660a5421:0x66e0a053c4842402!8m2!3d1.8619166999999999!4d102.94929909999999",2026-04-29
Golden Age Care Centre Batu Pahat,golden-age-care-centre-batu-pahat,/facilities/golden-age-care-centre-batu-pahat,Batu Pahat,+60 12-771 1083,https://www.gacc.com.my/index,Call for pricing,,,Nursing Home + Day Care + Assisted Living + Rehabilitation,"meals, nursing_care, physio, transport, activities, dementia_care",All,"English, BM, Mandarin",Unknown,Yes,1.3,3,1.8783413,102.9449117,"https://www.google.com/maps/place/Golden+Age+Care+Centre+Batu+Pahat/@1.8783413,102.94491169999999,14z/data=!4m8!1m2!2m1!1sGolden+Age+Care+Centre+Batu+Pahat!3m4!1s0x31d051e382731941:0xd3aef10a9edef272!8m2!3d1.8783413!4d102.94491169999999",2026-04-29
Adam & Eve Care Centre,adam-eve-care-centre,/facilities/adam-eve-care-centre,,+60 19-666 9941,,Call for pricing,,,,,,,,,,0,1.8493727,102.945616,"https://www.google.com/maps/place/Adam+%26+Eve+Care+Centre/@1.8493727,102.945616,14z/data=!4m8!1m2!2m1!1sAdam+%26+Eve+Care+Centre!3m4!1s0x31d05700566e5327:0x7eee5705446c2a12!8m2!3d1.8493727!4d102.945616",2026-04-29
Pusat Jagaan Wargatua Parit Bilal,pusat-jagaan-wargatua-parit-bilal,/facilities/pusat-jagaan-wargatua-parit-bilal,,+60 11-1682 6865,https://www.facebook.com/profile.php%3Fid%3D100063647223251,Call for pricing,,,,,,,,Yes,5.0,1,1.8868517,102.9483402,"https://www.google.com/maps/place/Pusat+Jagaan+Wargatua+Parit+Bilal/@1.8868517,102.94834019999999,14z/data=!4m8!1m2!2m1!1sPusat+Jagaan+Wargatua+Parit+Bilal!3m4!1s0x31d050574fb8d157:0xc575abd5b63e76df!8m2!3d1.8868517!4d102.94834019999999",2026-04-29
Cozzi Confinement Center | Sri Jaya 娘家精致月子中心,cozzi-confinement-center-sri-jaya,/facilities/cozzi-confinement-center-sri-jaya,,+60 12-756 6705,https://cozziconfinement.com.my/,Call for pricing,,,Nursing Home,"meals, laundry, nursing_care, transport, activities",Chinese-run,"English, Mandarin",Unknown,,5.0,1,1.8627162,102.9530191,"https://www.google.com/maps/place/Cozzi+Confinement+Center+%7C+Sri+Jaya+%E5%A8%98%E5%AE%B6%E7%B2%BE%E8%87%B4%E6%9C%88%E5%AD%90%E4%B8%AD%E5%BF%83/@1.8627162,102.95301909999999,14z/data=!4m8!1m2!2m1!1sCozzi+Confinement+Center+%7C+Sri+Jaya+%E5%A8%98%E5%AE%B6%E7%B2%BE%E8%87%B4%E6%9C%88%E5%AD%90%E4%B8%AD%E5%BF%83!3m4!1s0x31d051588c576bcf:0x38852809518cef02!8m2!3d1.8627162!4d102.95301909999999",2026-04-29
Cozzi Confinement Center | Tanah Merah 娘家精致月子中心,cozzi-confinement-center-tanah-merah,/facilities/cozzi-confinement-center-tanah-merah,,+60 12-756 6705,https://cozziconfinement.com.my/,Call for pricing,,,Nursing Home,"meals, laundry, nursing_care, transport, activities",Chinese-run,"English, Mandarin",Unknown,Yes,3.0,1,1.8503273,102.9462267,"https://www.google.com/maps/place/Cozzi+Confinement+Center+%7C+Tanah+Merah+%E5%A8%98%E5%AE%B6%E7%B2%BE%E8%87%B4%E6%9C%88%E5%AD%90%E4%B8%AD%E5%BF%83/@1.8503273,102.9462267,14z/data=!4m8!1m2!2m1!1sCozzi+Confinement+Center+%7C+Tanah+Merah+%E5%A8%98%E5%AE%B6%E7%B2%BE%E8%87%B4%E6%9C%88%E5%AD%90%E4%B8%AD%E5%BF%83!3m4!1s0x31d05745888c370b:0x6e53874129aaec27!8m2!3d1.8503273!4d102.9462267",2026-04-29
Pusat Jagaan Warga Emas Banang,pusat-jagaan-warga-emas-banang,/facilities/pusat-jagaan-warga-emas-banang,,+60 7-431 2998,,Call for pricing,,,,,,,,Yes,,0,1.8636485,102.9359677,"https://www.google.com/maps/place/Pusat+Jagaan+Warga+Emas+Banang/@1.8636484999999998,102.93596769999999,14z/data=!4m8!1m2!2m1!1sPusat+Jagaan+Warga+Emas+Banang!3m4!1s0x31d0512c992af3c3:0x44e7c8f7e63050e4!8m2!3d1.8636484999999998!4d102.93596769999999",2026-04-29
Pusat Jagaan Impian Syimah (Jalan Kemaman),pusat-jagaan-impian-syimah-jalan-kemaman,/facilities/pusat-jagaan-impian-syimah-jalan-kemaman,,+60 13-750 7134,https://www.facebook.com/PusatJagaanImpianSyimah,Call for pricing,,,,,,,,Yes,5.0,1,1.471446,103.7474903,"https://www.google.com/maps/place/Pusat+Jagaan+Impian+Syimah+%28Jalan+Kemaman%29/@1.471446,103.7474903,14z/data=!4m8!1m2!2m1!1sPusat+Jagaan+Impian+Syimah+%28Jalan+Kemaman%29!3m4!1s0x31da138507f052c3:0x8553304ca0fd9dfa!8m2!3d1.471446!4d103.7474903",2026-04-29
Pusat Jagaan Impian Syimah (Jalan Kemuncak),pusat-jagaan-impian-syimah-jalan-kemuncak,/facilities/pusat-jagaan-impian-syimah-jalan-kemuncak,,+60 13-750 7134,https://www.facebook.com/PusatJagaanImpianSyimah,Call for pricing,,,,,,,,Yes,3.5,11,1.4721886,103.7382648,"https://www.google.com/maps/place/Pusat+Jagaan+Impian+Syimah+%28Jalan+Kemuncak%29/@1.4721886,103.7382648,14z/data=!4m8!1m2!2m1!1sPusat+Jagaan+Impian+Syimah+%28Jalan+Kemuncak%29!3m4!1s0x31da12ae27a45b1f:0xb112242f939dc866!8m2!3d1.4721886!4d103.7382648",2026-04-29
Pusat Jagaan Darul Iftah,pusat-jagaan-darul-iftah,/facilities/pusat-jagaan-darul-iftah,,+60 14-940 4032,,Call for pricing,,,,,,,,Yes,4.4,7,1.4659117,103.7322849,"https://www.google.com/maps/place/Pusat+Jagaan+Darul+Iftah/@1.4659117,103.7322849,14z/data=!4m8!1m2!2m1!1sPusat+Jagaan+Darul+Iftah!3m4!1s0x31da13001de1f7e3:0xc81729a15436af22!8m2!3d1.4659117!4d103.7322849",2026-04-29
MediQas Sdn. Bhd.,mediqas-sdn-bhd,/facilities/mediqas-sdn-bhd,,+60 7-225 3118,,Call for pricing,,,,,,,,,,0,1.468896,103.734305,"https://www.google.com/maps/place/MediQas+Sdn.+Bhd./@1.468896,103.73430499999999,14z/data=!4m8!1m2!2m1!1sMediQas+Sdn.+Bhd.!3m4!1s0x31da12a8b6ae3d21:0xad86162f15a6a3d6!8m2!3d1.468896!4d103.73430499999999",2026-04-29
TSC Centre,tsc-centre,/facilities/tsc-centre,,+60 7-224 9000,,Call for pricing,,,,,,,,,,0,1.4704375,103.7365375,"https://www.google.com/maps/place/TSC+Centre/@1.4704374999999998,103.7365375,14z/data=!4m8!1m2!2m1!1sTSC+Centre!3m4!1s0x31da12b0c97bba3f:0x6f18489678d8d1fa!8m2!3d1.4704374999999998!4d103.7365375",2026-04-29
Pusat Jagaan Wargatua Amrita,pusat-jagaan-wargatua-amrita,/facilities/pusat-jagaan-wargatua-amrita,,+60 7-455 6992,,Call for pricing,,,,,,,,Yes,3.0,2,1.869024,102.9962392,"https://www.google.com/maps/place/Pusat+Jagaan+Wargatua+Amrita/@1.869024,102.99623919999999,14z/data=!4m8!1m2!2m1!1sPusat+Jagaan+Wargatua+Amrita!3m4!1s0x31d05a05e4f9fdf3:0x9cb96751fe589a22!8m2!3d1.869024!4d102.99623919999999",2026-04-29
Old Home Senior Care Centre,old-home-senior-care-centre,/facilities/old-home-senior-care-centre,,+60 12-756 1621,,Call for pricing,,,,,,,,,5.0,1,1.8646396,102.9358502,"https://www.google.com/maps/place/Old+Home+Senior+Care+Centre/@1.8646395999999998,102.93585019999999,14z/data=!4m8!1m2!2m1!1sOld+Home+Senior+Care+Centre!3m4!1s0x31d0512da57e87e9:0x224ad56c23e4f95d!8m2!3d1.8646395999999998!4d102.93585019999999",2026-04-29
BP Geriatrics Care Sdn Bhd House1,bp-geriatrics-care-sdn-bhd-house1,/facilities/bp-geriatrics-care-sdn-bhd-house1,,,,Call for pricing,,,,,,,,,4.0,1,1.876625,102.9425218,"https://www.google.com/maps/place/BP+Geriatrics+Care+Sdn+Bhd+House1/@1.876625,102.9425218,14z/data=!4m8!1m2!2m1!1sBP+Geriatrics+Care+Sdn+Bhd+House1!3m4!1s0x31d05187eefc6259:0xdd4a0afd15398bbf!8m2!3d1.876625!4d102.9425218",2026-04-29
ZAFRAH CARE CANTER (PJTZ),zafrah-care-canter-pjtz,/facilities/zafrah-care-canter-pjtz,,+60 6-981 1071,,Call for pricing,,,,,,,,Yes,5.0,2,1.9970157,102.6096818,"https://www.google.com/maps/place/ZAFRAH+CARE+CANTER+%28PJTZ%29/@1.9970157,102.60968179999999,14z/data=!4m8!1m2!2m1!1sZAFRAH+CARE+CANTER+%28PJTZ%29!3m4!1s0x31d1ba173aefbe5f:0x7e6177fdffb0a57e!8m2!3d1.9970157!4d102.60968179999999",2026-04-29
安心养老院 Elderia Care Center,elderia-care-center,/facilities/elderia-care-center,,+60 11-2803 0620,https://elderiacare.wixsite.com/elderia-care-center,Call for pricing,,,Nursing Home + Day Care,nursing_care,All,BM,Unknown,,,0,1.9285593,102.9407506,"https://www.google.com/maps/place/%E5%AE%89%E5%BF%83%E5%85%BB%E8%80%81%E9%99%A2+Elderia+Care+Center/@1.9285592999999999,102.9407506,14z/data=!4m8!1m2!2m1!1s%E5%AE%89%E5%BF%83%E5%85%BB%E8%80%81%E9%99%A2+Elderia+Care+Center!3m4!1s0x31d0518368b3e375:0xb05e2aaee9925ef7!8m2!3d1.9285592999999999!4d102.9407506",2026-04-29
Elim Nursing Home Batu Pahat 疗养院,elim-nursing-home-batu-pahat,/facilities/elim-nursing-home-batu-pahat,Batu Pahat,+60 11-1079 1685,https://www.facebook.com/elimnursinghomebp,Call for pricing,,,,,,,,Yes,3.0,2,1.9277393,102.9524632,"https://www.google.com/maps/place/Elim+Nursing+Home+Batu+Pahat+%E7%96%97%E5%85%BB%E9%99%A2/@1.9277392999999998,102.9524632,14z/data=!4m8!1m2!2m1!1sElim+Nursing+Home+Batu+Pahat+%E7%96%97%E5%85%BB%E9%99%A2!3m4!1s0x31d05189fb2a783b:0x2271d532775fa978!8m2!3d1.9277392999999998!4d102.9524632",2026-04-29
"pm 33, pusat jagaan sinar kasih",pm-33-pusat-jagaan-sinar-kasih,/facilities/pm-33-pusat-jagaan-sinar-kasih,,,,Call for pricing,,,,,,,,,,0,1.9135926,102.7019736,"https://www.google.com/maps/place/pm+33%2C+pusat+jagaan+sinar+kasih/@1.9135925999999999,102.7019736,14z/data=!4m8!1m2!2m1!1spm+33%2C+pusat+jagaan+sinar+kasih!3m4!1s0x31d1af725b6a9e25:0xe478fb58c23e431d!8m2!3d1.9135925999999999!4d102.7019736",2026-04-29
Ern Tien Nursing Home BP,ern-tien-nursing-home-bp,/facilities/ern-tien-nursing-home-bp,,,,Call for pricing,,,,,,,,Yes,,0,1.8707725,102.9052048,"https://www.google.com/maps/place/Ern+Tien+Nursing+Home+BP/@1.8707725,102.90520479999999,14z/data=!4m8!1m2!2m1!1sErn+Tien+Nursing+Home+BP!3m4!1s0x31d051509a5154dd:0x4490b9a69e49683e!8m2!3d1.8707725!4d102.90520479999999",2026-04-29
十方安老院,-2,/facilities/-2,,+60 11-1070 8122,,Call for pricing,,,,,,,,Yes,5.0,3,1.5351085,103.6304145,"https://www.google.com/maps/place/%E5%8D%81%E6%96%B9%E5%AE%89%E8%80%81%E9%99%A2/@1.5351085,103.6304145,14z/data=!4m8!1m2!2m1!1s%E5%8D%81%E6%96%B9%E5%AE%89%E8%80%81%E9%99%A2!3m4!1s0x31da75f4b786385d:0xfa563a05e68f622!8m2!3d1.5351085!4d103.6304145",2026-04-29
涵·疗养院 Hang Nursing Home (Gelang Patah Branch),hang-nursing-home-gelang-patah-branch,/facilities/hang-nursing-home-gelang-patah-branch,,+60 12-766 0927,https://m.facebook.com/pusatjagaanhang/,Call for pricing,,,,,,,,Yes,,0,1.4713853,103.5908792,"https://www.google.com/maps/place/%E6%B6%B5%C2%B7%E7%96%97%E5%85%BB%E9%99%A2+Hang+Nursing+Home+%28Gelang+Patah+Branch%29/@1.4713853,103.59087919999999,14z/data=!4m8!1m2!2m1!1s%E6%B6%B5%C2%B7%E7%96%97%E5%85%BB%E9%99%A2+Hang+Nursing+Home+%28Gelang+Patah+Branch%29!3m4!1s0x31da0b32e497484d:0x9936b8b9b7b1b3c1!8m2!3d1.4713853!4d103.59087919999999",2026-04-29
Green Garden Care Center Sdn Bhd,green-garden-care-center-sdn-bhd,/facilities/green-garden-care-center-sdn-bhd,,+60 7-686 9800,http://www.greengarden.com.my/,Call for pricing,,,Nursing Home,,All,"English, BM",Unknown,Yes,4.3,6,1.4182015,103.4329965,"https://www.google.com/maps/place/Green+Garden+Care+Center+Sdn+Bhd/@1.4182015,103.4329965,14z/data=!4m8!1m2!2m1!1sGreen+Garden+Care+Center+Sdn+Bhd!3m4!1s0x31d0a3ebf4b6a46d:0x9c28f3f5438d17f4!8m2!3d1.4182015!4d103.4329965",2026-04-29
Kluang Care Centre (Elder Care / Senior Care) 居銮疗养院/安老院/看护中心/乐龄中心,kluang-care-centre-elder-care-senior-care,/facilities/kluang-care-centre-elder-care-senior-care,Kluang,+60 19-743 0909,,Call for pricing,,,,,,,,,5.0,5,2.0628471,103.311046,"https://www.google.com/maps/place/Kluang+Care+Centre+%28Elder+Care+%2F+Senior+Care%29+%E5%B1%85%E9%8A%AE%E7%96%97%E5%85%BB%E9%99%A2%2F%E5%AE%89%E8%80%81%E9%99%A2%2F%E7%9C%8B%E6%8A%A4%E4%B8%AD%E5%BF%83%2F%E4%B9%90%E9%BE%84%E4%B8%AD%E5%BF%83/@2.0628471,103.31104599999999,14z/data=!4m8!1m2!2m1!1sKluang+Care+Centre+%28Elder+Care+%2F+Senior+Care%29+%E5%B1%85%E9%8A%AE%E7%96%97%E5%85%BB%E9%99%A2%2F%E5%AE%89%E8%80%81%E9%99%A2%2F%E7%9C%8B%E6%8A%A4%E4%B8%AD%E5%BF%83%2F%E4%B9%90%E9%BE%84%E4%B8%AD%E5%BF%83!3m4!1s0x31d06dccb3fec893:0x6d96f180318c2c57!8m2!3d2.0628471!4d103.31104599999999",2026-04-29
Pusat Jagaan Harian Warga Tua Kluang,pusat-jagaan-harian-warga-tua-kluang,/facilities/pusat-jagaan-harian-warga-tua-kluang,Kluang,+60 7-772 2434,,Call for pricing,,,,,,,,Yes,5.0,1,2.016281,103.319724,"https://www.google.com/maps/place/Pusat+Jagaan+Harian+Warga+Tua+Kluang/@2.0162809999999998,103.319724,14z/data=!4m8!1m2!2m1!1sPusat+Jagaan+Harian+Warga+Tua+Kluang!3m4!1s0x31d06dd1481933af:0x9e8f10bfdbbd2af1!8m2!3d2.0162809999999998!4d103.319724",2026-04-29
Pusat Jagaan Ler Lin,pusat-jagaan-ler-lin,/facilities/pusat-jagaan-ler-lin,,+60 7-773 8252,,Call for pricing,,,,,,,,Yes,4.7,3,2.0276691,103.3277539,"https://www.google.com/maps/place/Pusat+Jagaan+Ler+Lin/@2.0276691,103.32775389999999,14z/data=!4m8!1m2!2m1!1sPusat+Jagaan+Ler+Lin!3m4!1s0x31d06dc689ec247d:0xcd037d62716236a!8m2!3d2.0276691!4d103.32775389999999",2026-04-29
Khazanah Nursery,khazanah-nursery,/facilities/khazanah-nursery,,+60 13-720 0780,,Call for pricing,,,,,,,,,,0,2.0433756,103.3293271,"https://www.google.com/maps/place/Khazanah+Nursery/@2.0433756,103.3293271,14z/data=!4m8!1m2!2m1!1sKhazanah+Nursery!3m4!1s0x31d06da40e9de463:0xd0d2f77f1dd39037!8m2!3d2.0433756!4d103.3293271",2026-04-29
Rumah Sejahtera Yong Peng,rumah-sejahtera-yong-peng,/facilities/rumah-sejahtera-yong-peng,,+60 7-467 2517,,Call for pricing,,,,,,,,,3.0,1,2.0160347,103.058695,"https://www.google.com/maps/place/Rumah+Sejahtera+Yong+Peng/@2.0160347,103.058695,14z/data=!4m8!1m2!2m1!1sRumah+Sejahtera+Yong+Peng!3m4!1s0x31d0469f7d415315:0xc09a057491c9f548!8m2!3d2.0160347!4d103.058695",2026-04-29
Pusat Jagaan Teduhan Zafrah (Warga Emas & OKU) LELAKI,pusat-jagaan-teduhan-zafrah-warga-emas-oku-lelaki,/facilities/pusat-jagaan-teduhan-zafrah-warga-emas-oku-lelaki,,+60 13-311 9462,,Call for pricing,,,,,,,,Yes,4.9,12,2.0236378,102.5889209,"https://www.google.com/maps/place/Pusat+Jagaan+Teduhan+Zafrah+%28Warga+Emas+%26+OKU%29+LELAKI/@2.0236378,102.58892089999999,14z/data=!4m8!1m2!2m1!1sPusat+Jagaan+Teduhan+Zafrah+%28Warga+Emas+%26+OKU%29+LELAKI!3m4!1s0x31d1b9e732af43b7:0x6191f2351f89c26f!8m2!3d2.0236378!4d102.58892089999999",2026-04-29
Persatuan Kebajikan Orang Tua Ceria,persatuan-kebajikan-orang-tua-ceria,/facilities/persatuan-kebajikan-orang-tua-ceria,,+60 7-558 5362,,Call for pricing,,,,,,,,Yes,4.4,11,1.513252,103.657048,"https://www.google.com/maps/place/Persatuan+Kebajikan+Orang+Tua+Ceria/@1.513252,103.65704799999999,14z/data=!4m8!1m2!2m1!1sPersatuan+Kebajikan+Orang+Tua+Ceria!3m4!1s0x31da733b82f6db45:0xf3f73331f4bfd5ba!8m2!3d1.513252!4d103.65704799999999",2026-04-29
Amitabha Foundation (Amitabha Malaysia),amitabha-foundation-amitabha-malaysia,/facilities/amitabha-foundation-amitabha-malaysia,,+60 7-213 2448,https://en.amitabhamalaysia.org/,Call for pricing,,,Day Care,"meals, activities",Chinese-run,"English, BM",Unknown,Yes,4.4,0,1.4865781,103.7242632,"https://www.google.com/maps/place/Amitabha+Foundation+%28Amitabha+Malaysia%29/@1.4865781,103.7242632,14z/data=!4m8!1m2!2m1!1sAmitabha+Foundation+%28Amitabha+Malaysia%29!3m4!1s0x31da73e3fdaae465:0x8e2f561f93ec608f!8m2!3d1.4865781!4d103.7242632",2026-04-29
Roseville Villa Residential Home Care,roseville-villa-residential-home-care-2,/facilities/roseville-villa-residential-home-care-2,,+60 14-736 7763,,Call for pricing,,,,,,,,Yes,5.0,4,1.5570791,103.4008587,"https://www.google.com/maps/place/Roseville+Villa+Residential+Home+Care/@1.5570791,103.4008587,14z/data=!4m8!1m2!2m1!1sRoseville+Villa+Residential+Home+Care!3m4!1s0x31d09b7baeec7259:0xadfb364a4c6e18bd!8m2!3d1.5570791!4d103.4008587",2026-04-29
Pusat Jagaan Sri Santaville,pusat-jagaan-sri-santaville,/facilities/pusat-jagaan-sri-santaville,,+60 7-687 4190,,Call for pricing,,,,,,,,Yes,,0,1.489484,103.388585,"https://www.google.com/maps/place/Pusat+Jagaan+Sri+Santaville/@1.489484,103.38858499999999,14z/data=!4m8!1m2!2m1!1sPusat+Jagaan+Sri+Santaville!3m4!1s0x31d0986e1a6a0871:0x2ab9574beef8157e!8m2!3d1.489484!4d103.38858499999999",2026-04-29
德安安养院 Dion Confinement Center,dion-confinement-center,/facilities/dion-confinement-center,,+60 17-260 1236,,Call for pricing,,,,,,,,Yes,4.0,1,1.5544843,103.8046004,"https://www.google.com/maps/place/%E5%BE%B7%E5%AE%89%E5%AE%89%E5%85%BB%E9%99%A2+Dion+Confinement+Center/@1.5544843,103.8046004,14z/data=!4m8!1m2!2m1!1s%E5%BE%B7%E5%AE%89%E5%AE%89%E5%85%BB%E9%99%A2+Dion+Confinement+Center!3m4!1s0x31da6f8e91710885:0x3a91c50d5608a39e!8m2!3d1.5544843!4d103.8046004",2026-04-29
House Of Joy,house-of-joy,/facilities/house-of-joy,,+60 11-2632 2502,,Call for pricing,,,,,,,,Yes,5.0,1,1.5112919,103.6903504,"https://www.google.com/maps/place/House+Of+Joy/@1.5112919,103.6903504,14z/data=!4m8!1m2!2m1!1sHouse+Of+Joy!3m4!1s0x31da72f96efa4395:0x2e21e933ef4f967e!8m2!3d1.5112919!4d103.6903504",2026-04-29
Magna Resort Sdn. Bhd.,magna-resort-sdn-bhd,/facilities/magna-resort-sdn-bhd,,+60 7-234 8899,,Call for pricing,,,,,,,,,,0,1.519157,103.6968291,"https://www.google.com/maps/place/Magna+Resort+Sdn.+Bhd./@1.5191569999999999,103.6968291,14z/data=!4m8!1m2!2m1!1sMagna+Resort+Sdn.+Bhd.!3m4!1s0x31da7259a1c30d29:0x6758c86923e53dc4!8m2!3d1.5191569999999999!4d103.6968291",2026-04-29
Pusat Sri Kenangan 乐龄安养中心,pusat-sri-kenangan-3,/facilities/pusat-sri-kenangan-3,,+60 12-998 3690,,Call for pricing,,,,,,,,Yes,3.0,4,2.1018247,102.5223617,"https://www.google.com/maps/place/Pusat+Sri+Kenangan+%E4%B9%90%E9%BE%84%E5%AE%89%E5%85%BB%E4%B8%AD%E5%BF%83/@2.1018247,102.52236169999999,14z/data=!4m8!1m2!2m1!1sPusat+Sri+Kenangan+%E4%B9%90%E9%BE%84%E5%AE%89%E5%85%BB%E4%B8%AD%E5%BF%83!3m4!1s0x31d1c0ae5cca4b35:0xd8d54f4f89107c08!8m2!3d2.1018247!4d102.52236169999999",2026-04-29
Yang Xin Nursing Home (养心托管安老院),yang-xin-nursing-home,/facilities/yang-xin-nursing-home,,+60 16-768 6682,https://www.facebook.com/profile.php%3Fid%3D100084633097437%26locale%3Dzh_CN,Call for pricing,,,,,,,,,,0,1.5129192,103.738461,"https://www.google.com/maps/place/Yang+Xin+Nursing+Home+%28%E5%85%BB%E5%BF%83%E6%89%98%E7%AE%A1%E5%AE%89%E8%80%81%E9%99%A2%29/@1.5129192,103.738461,14z/data=!4m8!1m2!2m1!1sYang+Xin+Nursing+Home+%28%E5%85%BB%E5%BF%83%E6%89%98%E7%AE%A1%E5%AE%89%E8%80%81%E9%99%A2%29!3m4!1s0x31da6d0049b9fc49:0x88ae1533c7e7a5d3!8m2!3d1.5129192!4d103.738461",2026-04-29
JETA CARE SDN. BHD,jeta-care-sdn-bhd,/facilities/jeta-care-sdn-bhd,"Kulai, Johor",,http://www.jetacare.com/,Call for pricing,,,Nursing Home + Day Care + Assisted Living + Rehabilitation,"meals, laundry, nursing_care, physio, doctor_visit, activities, dementia_care, palliative",All,"English, BM, Mandarin",Yes,,,,,,,2026-04-29
