title,state,area,phone,licence_number,licence_expiry,website,email,shared_price,private_price,pricing_display,has_gps,rating,photos,status
Sitiawan Lily Care Centre,Perak,,+60165048575,A/PJB WT 019/2023,,,,,,,yes,,no,unverified
SMA Home Care Centre Sdn Bhd,Penang,,+60124835739,P/PJB WT 028/2024,,,,,,,yes,,no,unverified
SMART SENIOR CARE CENTRE,Sabah,,+601151802454,S/PJBWT/002-2021,,,,,,,yes,,no,unverified
Splendid Care Centre,Sarawak,,+60138018883,Q/PJB WT/06/2017,,,,,,,yes,,no,unverified
SPRUCE CARE CENTRE,Johor,,+601110900703,J/PJB WT 050/2021,,,,,,,yes,,no,unverified
Starshine Care Centre,Perak,,+60165600317,A/PJB WT 025/2024,,,,,,,yes,,no,unverified
Starshine Care Centre,Perak,,+60165600317,A/PJB WT 057/2024,,,,,,,yes,,no,unverified
Sunny Residence Home For Senior Citizens Care Centre,Perak,,+60165368910,A/PJB WT 036/2022,,,,,,,yes,,no,unverified
Sunrise Leisure Care Centre,Perak,,+60163362088,A/PJB WT 045/2023,,,,,,,yes,,no,unverified
Sunshine Old Folks Care Centre,Perak,,+60125299269,A/PJB WT 032/2024,,,,,,,yes,,no,unverified
SUTHA CARE CENTRE,Negeri Sembilan,,+60182794863,N/PJB WE 10/2024,,,,,,,yes,,no,unverified
Suzanne Home Aged Care Centre,Perak,,+60165185669,A/PJB WE 032/2025,,,,,,,yes,,no,unverified
TAKAHASHI LEGEND CARE CENTRE,Selangor,,+60378952742,B/PJB WT 001/2024,,,,,,,yes,,no,unverified
TAKE CARE CENTRE,Negeri Sembilan,,+60143389554,N/PJB WT 21/2023,,,,,,,yes,,no,unverified
The Penang Buddhist Association Senior Cetizen's Home Care Centre,Penang,,+60124722813,P/PJB WT 024/2022,,,,,,,yes,,no,unverified
The Salvation Army Perak Home For The Aged Care Centre,Perak,,+6055262108,A/PJB WT 009/2023,,,,,,,yes,,no,unverified
THE SYNOD OF THE DIOCESE OF WEST MALAYSIA CARE CENTRE,Terengganu,,+60178424316,T/PJB WE 005/2024,,,,,,,yes,,no,unverified
THERESA HOME CARE CENTRE (2),Selangor,,+60162579028,B/PJB WT 010/2024,,,,,,,yes,,no,unverified
TILA CARE CENTRE,Selangor,,+60107682707,B/PJB WT 015/2025,,,,,,,yes,,no,unverified
Top Perfect Care Centre,Perak,,+60165677565,A/PJB WT 001/2019,,,,,,,yes,,no,unverified
Top Perfect Care Centre,Perak,,+60165677565,A/PJB WT 037/2024,,,,,,,yes,,no,unverified
Trinity Care Centre,Perak,,+60165128178,A/PJB WT 020/2023,,,,,,,yes,,no,unverified
TRUE HOME CARE CENTRE,Pahang,,+60183758662,C/PJBWE009/2024,,,,,,,yes,,no,unverified
TRUE HOUSE OF VICTORY CARE CENTRE,Negeri Sembilan,,+60122694537,N/PJB WE 07/2024,,,,,,,yes,,no,unverified
Twilight Care Centre,Perak,,+60195136661,A/PJB WT 059/2021,,,,,,,yes,,no,unverified
Twilight Elderly Care Centre,Perak,,+60195136661,A/PJB WT 006/2020,,,,,,,yes,,no,unverified
Twilight Elderly Care Centre,Perak,,+60195136661,A/PJB WE 015/2025,,,,,,,yes,,no,unverified
Twilight Rapat Care Centre,Perak,,+60165575068,A/PJB WT 039/2023,,,,,,,yes,,no,unverified
UMC Healthcare Centre,Penang,,+60123887421,P/PJB WT 004/ 2025,,,,,,,yes,,no,unverified
Universal Love Home Care Centre,Perak,,+60189484785,A/PJB WT 022/2022,,,,,,,yes,,no,unverified
Vcare Geriatric Care Centre,Perak,,+60136909658,A/PJB WT 006/2023,,,,,,,yes,,no,unverified
Verde Home Bercham Care Centre,Perak,,+60165218916,A/PJB WT 008/2024,,,,,,,yes,,no,unverified
Verde Home Care Centre,Perak,,+60165218916,A/PJB WT 001/2024,,,,,,,yes,,no,unverified
Verde Retirement Home Care Centre,Perak,,+60165218916,A/PJB WE 008/2025,,,,,,,yes,,no,unverified
Victory Care Centre,Perak,,+60165677565,A/PJB WT 005/2020,,,,,,,yes,,no,unverified
Victory Care Centre,Perak,,+6052547267,A/PJB WE 026/2025,,,,,,,yes,,no,unverified
VV ELDERLY CARE CENTRE,Johor,,+60183244697,J/PJB WT 037/2024,,,,,,,yes,,no,unverified
WEI AI CARE CENTRE,Selangor,,+6037782832,B/PJB WT 013/2021,,,,,,,yes,,no,unverified
WTL ELDERLY CARE CENTRE,Sabah,,+60168261022,S/PJBWT/003-2022,,,,,,,yes,,no,unverified
YOUNG HEART SENIOR CARE CENTRE,Johor,,+60142788771,J/PJBWT020/2025,,,,,,,yes,,no,unverified
YY Elderly Home Care Centre,Melaka,,+60172878256,M/PJB WT 017 / 2022,,,,,,,yes,,no,unverified
Zhen Seng Care Centre,Perak,,+60177296389,A/PJB WT 021/2024,,,,,,,yes,,no,unverified
