title,slug,url,area,phone,website,pricing_display,shared_price,private_price,care_types,services,religion,languages,subsidy,wheelchair,rating,review_count,latitude,longitude,google_maps_url,last_updated,halal,ownership_type,licence_number,whatsapp,facebook,care_nursing,care_dementia,care_palliative,care_rehab,care_respite,care_assisted,rn_24_7,doctor_visits,nurse_ratio_day,nurse_ratio_night,medical_physio,medical_ot,medical_wound,medical_peg,medical_dementia_unit,medical_dialysis,medical_oxygen,medical_meds,total_beds,availability,four_bed_price,dorm_price,visiting_hours,parking,editorial_summary,hero_image,photos,photo_count,state,status,care_category,service_type,license_category,license_number,license_verification_date,license_expiry,license_expiry_warning,acuity_level,nurse_in_charge,doctor_visit_frequency,pricing_model,hidden_costs,sg_transfer_ready,verification_tier,last_verified_on,verified_by,evidence_ref,outreach_status,outreach_last_attempt,outreach_notes,tier_2_review_pending,deactivation_reason,remarks,screened_date,screened_by
MY FATHER'S HOME CARE CENTRE,my-fathers-home-care-centre,,,+60193868890,,,,,Elderly Care,,,,,,,,3.16602,101.60293,"http://maps.google.com/?q=3.16602 ,101.60293",2026-05-07,,,B/PJBWT 004/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selangor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
MY KPJ HOME,my-kpj-home,,,+6095678588,,,,,Elderly Care,,,,,,,,3.821899,103.342412,"http://maps.google.com/?q=3.821899 ,103.342412",2026-05-07,,,C/P JB WE 009/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pahang,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cherish Care Centre Sdn. Bhd.,northern-cherish-care-centre-sdn-bhd,,,+60125638049,,,,,Elderly Care,,,,,,,,6.0972323,100.3420341,"http://maps.google.com/?q=6.0972323 ,100.3420341",2026-05-07,,,K/PJB WT 011/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kedah,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN RETIREMENT CARE CENTRE,northern-retirement-care-centre,,,+60124548333,,,,,Elderly Care,,,,,,,,6.0467608,100.3320375,"http://maps.google.com/?q=6.0467608 ,100.3320375",2026-05-07,,,K/PJB WT 13/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kedah,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ONE HOME CARE CENTRE,one-home-care-centre,,,+60168802631,,,,,Elderly Care,,,,,,,,5.988990,116.100600,"http://maps.google.com/?q=5.988990 ,116.100600",2026-05-07,,,S/PJBWT/002-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sabah,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ORCHIDS WELL CARE CENTRE,orchids-well-care-centre,,,+60126702466,,,,,Elderly Care,,,,,,,,2.69750,101.95432,"http://maps.google.com/?q=2.69750, 101.95432",2026-05-07,,,N/PJHWE008/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negeri Sembilan,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Osem Care Sdn Bhd,osem-care-sdn-bhd,,,+60174878232,,,,,Elderly Care,,,,,,,,5.3168666,100.478958,"http://maps.google.com/?q=5.3168666, 100.478958",2026-05-07,,,P/PJB WT 028/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Penang,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Our Caring Home Care Centre,our-caring-home-care-centre,,,+60165677565,,,,,Elderly Care,,,,,,,,4.5657137,101.0774246,"http://maps.google.com/?q=4.5657137 ,101.0774246",2026-05-07,,,A/PJB WT 035/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Our Home Care Centre,our-home-care-centre,,,+60195136661,,,,,Elderly Care,,,,,,,,4.5874003,101.0837056,"http://maps.google.com/?q=4.5874003 ,101.0837056",2026-05-07,,,A/PJB WT 056/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
PASSION CARE CENTRE,passion-care-centre,,,+60138109963,,,,,Elderly Care,,,,,,,,5.9938306,0116.1104247,"http://maps.google.com/?q=5.9938306 ,0116.1104247",2026-05-07,,,S/PJB WT/001-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sabah,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
"Persatuan Kebajikan Ti-Ratana, Kuala Lumpur",persatuan-kebajikan-ti-ratana-kuala-lumpur,,,+60379881888,,,,,Elderly Care,,,,,,,,3.08534,101.71017,"http://maps.google.com/?q=3.08534 ,101.71017",2026-05-07,,,W/PJB WT 002/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Lumpur,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
PERTUBUHAN  PUSAT  AKTIVITI  WARGA EMAS  BESTARI  MACHANG,pertubuhan-pusat-aktiviti-warga-emas-bestari-macha,,,+60148023612,,,,,Elderly Care,,,,,,,,5.7852,102.214,"http://maps.google.com/?q=5.7852 ,102.214",2026-05-07,,,D/PJH WE  11/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kelantan,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
PERTUBUHAN KEBAJIKAN WARGA EMAS AL-QAID TANGKAK JOHOR,pertubuhan-kebajikan-warga-emas-al-qaid-tangkak-jo,,,+60197735103,,,,,Elderly Care,,,,,,,,2.2819204824873536,102.6163971156677,"http://maps.google.com/?q=2.2819204824873536, 102.6163971156677",2026-05-07,,,J/PJBWE084/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
"Pertubuhan Kebajikan Warga Tua ""Anning"" Teluk Intan, Perak",pertubuhan-kebajikan-warga-tua-anning-teluk-intan-,,,+60165554130,,,,,Elderly Care,,,,,,,,4.0065131,101.0148724,"http://maps.google.com/?q=4.0065131 ,101.0148724",2026-05-07,,,A/PJB WT 012/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
"Pertubuhan Kebajikan Warga Tua ""Anning"" Teluk Intan, Perak",pertubuhan-kebajikan-warga-tua-anning-teluk-intan-,,,+60165554130,,,,,Elderly Care,,,,,,,,4.0065078,101.0148724,"http://maps.google.com/?q=4.0065078 ,101.0148724",2026-05-07,,,A/PJB WT 012/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Pertubuhan Pengurusan Rumah Kebajikan Warga Emas Sang Riang,pertubuhan-pengurusan-rumah-kebajikan-warga-emas-s,,,+6092556675,,,,,Elderly Care,,,,,,,,3.255361,102.424640,"http://maps.google.com/?q=3.255361 ,102.424640",2026-05-07,,,C/P JB WE 010/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pahang,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
PERTUBUHAN PUSAT AKTIVITI WARGA EMAS DAERAH KUALA PILAH,pertubuhan-pusat-aktiviti-warga-emas-daerah-kuala-,,,+60196540079,,,,,Elderly Care,,,,,,,,2.73356,102.23456,"http://maps.google.com/?q=2.73356, 102.23456",2026-05-07,,,N/PJHWE009/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negeri Sembilan,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
PERTUBUHAN PUSAT AKTIVITI WARGA EMAS DAERAH REMBAU,pertubuhan-pusat-aktiviti-warga-emas-daerah-rembau,,,+60165328217,,,,,Elderly Care,,,,,,,,,,,2026-05-07,,,N/PJHWE020/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negeri Sembilan,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
PERTUBUHAN PUSAT AKTIVITI WARGA EMAS MENTAKAB,pertubuhan-pusat-aktiviti-warga-emas-mentakab,,,+60129220558,,,,,Elderly Care,,,,,,,,3.4850271944228597,102.34512988004049,"http://maps.google.com/?q=3.4850271944228597, 102.34512988004049",2026-05-07,,,C/PJHWE006/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pahang,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
PERTUBUHAN PUSAT AKTIVITI WARGA EMAS TAMPIN (PAWE),pertubuhan-pusat-aktiviti-warga-emas-tampin-pawe,,,+60173138550,,,,,Elderly Care,,,,,,,,,,,2026-05-07,,,N/PJHWE021/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negeri Sembilan,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
"Pertubuhan Wa Khiew Yi Shea Sungai Siput, Perak",pertubuhan-wa-khiew-yi-shea-sungai-siput-perak,,,+60165663869,,,,,Elderly Care,,,,,,,,4.8175693,101.0668218,"http://maps.google.com/?q=4.8175693 ,101.0668218",2026-05-07,,,A/PJB WT 045/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
PLEASURE CARE CENTRE (CAWANGAN),pleasure-care-centre-cawangan,,,+60127523136,,,,,Elderly Care,,,,,,,,1.5304612735162373,103.71309606754926,"http://maps.google.com/?q=1.5304612735162373, 103.71309606754926",2026-05-07,,,J/PJBWE053/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
PRESTIGE SENIOR CARE CENTRE,prestige-senior-care-centre,,,+60163519444,,,,,Elderly Care,,,,,,,,2.6850860260954414,101.93273869832254,"http://maps.google.com/?q=2.6850860260954414, 101.93273869832254 ,2.6850860260954414, 101.93273869832254",2026-05-07,,,N/PJB WE 18/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negeri Sembilan,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Pure Home Care Centre,pure-home-care-centre,,,+60182331128,,,,,Elderly Care,,,,,,,,4.5467841,101.0504477,"http://maps.google.com/?q=4.5467841 ,101.0504477",2026-05-07,,,A/PJB WT 041/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Pure Home Care Centre,pure-home-care-centre,,,+60125423770,,,,,Elderly Care,,,,,,,,4.0064335,101.0171039,"http://maps.google.com/?q=4.0064335 ,101.0171039",2026-05-07,,,A/PJB WT 041/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
PUSAT  AKTIVITI WARGA  EMAS (PAWE) KEMUMIN,pusat-aktiviti-warga-emas-pawe-kemumin,,,+6097733023,,,,,Elderly Care,,,,,,,,584485,1038,"http://maps.google.com/?q=584485 ,1038MY10",2026-05-07,,,D/PJH WE  002/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kelantan,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
PUSAT  AKTIVITI WARGA EMAS (PAWE) DUNGUN,pusat-aktiviti-warga-emas-pawe-dungun,,,+60148348430,,,,,Elderly Care,,,,,,,,,,http://maps.google.com/?q=4.757135 /103.416966,2026-05-07,,,T/PJHWE005/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terengganu,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
PUSAT  AKTIVITI WARGA EMAS (PAWE) KG RAJA  BESUT,pusat-aktiviti-warga-emas-pawe-kg-raja-besut,,,+60199347273,,,,,Elderly Care,,,,,,,,5.7332,102.613,"http://maps.google.com/?q=5.7332 ,102.613",2026-05-07,,,T/PJH WE 026/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terengganu,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
PUSAT  AKTIVITI WARGA EMAS (PAWE) MARANG,pusat-aktiviti-warga-emas-pawe-marang,,,+60199455538,,,,,Elderly Care,,,,,,,,,,http://maps.google.com/?q=5.256801 /103.095891,2026-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terengganu,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Pusat Aktiviti Warga Emas (PAWE) Daerah Bera,pusat-aktiviti-warga-emas-pawe-daerah-bera,,,+60132477293,,,,,Elderly Care,,,,,,,,3.2593127297092694,102.60435766957062,"http://maps.google.com/?q=3.2593127297092694 ,102.60435766957062",2026-05-07,,,C/PJH WE 016/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pahang,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
PUSAT AKTIVITI WARGA EMAS (PAWE) KOMPLEKS PENYAYANG KUANTAN,pusat-aktiviti-warga-emas-pawe-kompleks-penyayang-,,,+60199521144,,,,,Elderly Care,,,,,,,,3.8113228526186753,103.29212651166004,"http://maps.google.com/?q=3.8113228526186753, 103.29212651166004",2026-05-07,,,C/PJHWE014/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pahang,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
PUSAT AKTIVITI WARGA EMAS BANDAR TUN RAZAK JENGKA,pusat-aktiviti-warga-emas-bandar-tun-razak-jengka,,,+60199604296,,,,,Elderly Care,,,,,,,,3.7663645884308785,102.54916912752226,"http://maps.google.com/?q=3.7663645884308785, 102.54916912752226",2026-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pahang,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
PUSAT AKTIVITI WARGA EMAS HULU TERENGGANU,pusat-aktiviti-warga-emas-hulu-terengganu,,,+601119912238,,,,,Elderly Care,,,,,,,,5.3215232,103.1405568,"http://maps.google.com/?q=5.3215232,103.1405568",2026-05-07,,,T/PJ H WE 005/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terengganu,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
PUSAT AKTIVITI WARGA EMAS JEMPOL,pusat-aktiviti-warga-emas-jempol,,,+60176832966,,,,,Elderly Care,,,,,,,,,,,2026-05-07,,,N/PJHWE016/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negeri Sembilan,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
PUSAT AKTIVITI WARGA EMAS KUALA KLAWANG,pusat-aktiviti-warga-emas-kuala-klawang,,,+60196212175,,,,,Elderly Care,,,,,,,,2.9382374,102.0654872,"http://maps.google.com/?q=2.9382374 ,102.0654872",2026-05-07,,,N/PJH WE 28/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negeri Sembilan,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
PUSAT AKTIVITI WARGA EMAS SIKAMAT,pusat-aktiviti-warga-emas-sikamat,,,+60196207311,,,,,Elderly Care,,,,,,,,2.74558,101.96699,"http://maps.google.com/?q=2.74558, 101.96699",2026-05-07,,,N/PJHWE003/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negeri Sembilan,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
PUSAT JAGAAN AI XIN,pusat-jagaan-ai-xin,,,+60105395593,,,,,Elderly Care,,,,,,,,,,"http://maps.google.com/?q= 4.210484 ,101.975766",2026-05-07,,,J/PJB WT 013/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
PUSAT JAGAAN AISYAH AL-IMAN,pusat-jagaan-aisyah-al-iman,,,+60199888798,,,,,Elderly Care,,,,,,,,3.524729378818535,103.39370724547358,"http://maps.google.com/?q=3.524729378818535, 103.39370724547358",2026-05-07,,,PPM-005-06-23022024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pahang,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
PUSAT JAGAAN AMAN DAMAI,pusat-jagaan-aman-damai,,,+60129123143,,,,,Elderly Care,,,,,,,,3.02313,101.70087,"http://maps.google.com/?q=3.02313 ,101.70087",2026-05-07,,,B/PJBWT 010/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selangor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
PUSAT JAGAAN AN XIE,pusat-jagaan-an-xie,,,+60122069876,,,,,Elderly Care,,,,,,,,3.0559321,101.7504866,"http://maps.google.com/?q=3.0559321,	 ,101.7504866",2026-05-07,,,B/PJB WT 018/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Lumpur,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Pusat Jagaan Belaian Jiwa,pusat-jagaan-belaian-jiwa,,,+60125846754,,,,,Elderly Care,,,,,,,,4.6123789,101.1133922,"http://maps.google.com/?q=4.6123789 ,101.1133922",2026-05-07,,,A/PJB WE 010/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
PUSAT JAGAAN BERKAT KASIH,pusat-jagaan-berkat-kasih,,,+60122541650,,,,,Elderly Care,,,,,,,,3.08916,101.74730,"http://maps.google.com/?q=3.08916 ,101.74730",2026-05-07,,,W/PJB WT 007/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Lumpur,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
PUSAT JAGAAN BETHANY ELDERLY HOME,pusat-jagaan-bethany-elderly-home,,,+6074152252,,,,,Elderly Care,,,,,,,,1.9034337,102.9542493,"http://maps.google.com/?q=1.9034337 ,102.9542493",2026-05-07,,,J/PJB WT 021/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Pusat Jagaan Catholic Home Management Services SDN. BHD.,pusat-jagaan-catholic-home-management-services-sdn,,,+6082381262,,,,,Elderly Care,,,,,,,,1.4104692362728717,110.29589891304757,"http://maps.google.com/?q=1.4104692362728717 ,110.29589891304757",2026-05-07,,,Q/PJB WT/20/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sarawak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
PUSAT JAGAAN CINTA SAYANG,pusat-jagaan-cinta-sayang,,,+60125292686,,,,,Elderly Care,,,,,,,,5.657170,100.519642,"http://maps.google.com/?q=5.657170 ,100.519642",2026-05-07,,,K/PJB WT 017/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kedah,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
PUSAT JAGAAN COMPLETE DELIGHT SDN. BHD (2),pusat-jagaan-complete-delight-sdn-bhd-2,,,+60123495811,,,,,Elderly Care,,,,,,,,3.0229.8,101.3708.8,"http://maps.google.com/?q=3.0229.8 ,101.3708.8E",2026-05-07,,,B/PJB WT 004/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selangor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Pusat Jagaan Darul Hanan Pulau Pinang,pusat-jagaan-darul-hanan-pulau-pinang,,,+60194112884,,,,,Elderly Care,,,,,,,,5.49866,100.45306,"http://maps.google.com/?q=5.49866 ,100.45306",2026-05-07,,,P/PJB WT 047/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Penang,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Pusat Jagaan Emas Ipoh,pusat-jagaan-emas-ipoh,,,+60125918439,,,,,Elderly Care,,,,,,,,,,"http://maps.google.com/?q= 4.6295677, 101.1209516 ",2026-05-07,,,A/PJB WT 067/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Pusat Jagaan Fortune Senior Care Centre,pusat-jagaan-fortune-senior-care-centre,,,+60143639119,,,,,Elderly Care,,,,,,,,3.4844654,102.3280054,"http://maps.google.com/?q=3.4844654 ,102.3280054",2026-05-07,,,C/PJBWE011/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pahang,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
PUSAT JAGAAN GEMILANG,pusat-jagaan-gemilang,,,+601120836564,,,,,Elderly Care,,,,,,,,6.2918247,100.4508963,"http://maps.google.com/?q=6.2918247,100.4508963",2026-05-07,,,K/PJB WE002/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kedah,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Pusat Jagaan Harian Chan,pusat-jagaan-harian-chan,,,+60185766191,,,,,Elderly Care,,,,,,,,4.5973657,100.5727781,"http://maps.google.com/?q=4.5973657, 100.5727781",2026-05-07,,,A/PJH WT 002/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Pusat Jagaan Harian Pertubuhan Dimensia Perak,pusat-jagaan-harian-pertubuhan-dimensia-perak,,,+60135201220,,,,,Elderly Care,,,,,,,,4.5956305,101.090987,"http://maps.google.com/?q=4.5956305 ,101.090987",2026-05-07,,,A/PJH WT 011/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
PUSAT JAGAAN HARMONI SEREMBAN,pusat-jagaan-harmoni-seremban,,,+60126727688,,,,,Elderly Care,,,,,,,,2.6938711,101.9466358,"http://maps.google.com/?q=2.6938711 ,101.9466358",2026-05-07,,,N/PJB WT 29/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negeri Sembilan,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
PUSAT JAGAAN HIDAYAH II,pusat-jagaan-hidayah-ii,,,+60139277102,,,,,Elderly Care,,,,,,,,5.7128778,102.2166773,"http://maps.google.com/?q=5.7128778 ,102.2166773",2026-05-07,,,D/PJB WE 002/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kelantan,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Pusat Jagaan Hong Eng,pusat-jagaan-hong-eng,,,+60125800340,,,,,Elderly Care,,,,,,,,4.5691189,101.077499,"http://maps.google.com/?q=4.5691189 ,101.077499",2026-05-07,,,A/PJB WT 033/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Pusat Jagaan Indah Harapan,pusat-jagaan-indah-harapan,,,+60165570036,,,,,Elderly Care,,,,,,,,4.5597459,101.0736462,"http://maps.google.com/?q=4.5597459 ,101.0736462",2026-05-07,,,A/PJH WT 015/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
PUSAT JAGAAN INSAN EMAS NUR HIDAYAH,pusat-jagaan-insan-emas-nur-hidayah,,,+60196820513,,,,,Elderly Care,,,,,,,,1.479018,103.632727,"http://maps.google.com/?q=1.479018 ,103.632727",2026-05-07,,,J/PJB WT 014/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
PUSAT JAGAAN KANAAN NURSING HOME,pusat-jagaan-kanaan-nursing-home,,,+60198811030,,,,,Elderly Care,,,,,,,,5.9067372,115.9861677,"http://maps.google.com/?q=5.9067372 ,115.9861677",2026-05-07,,,S/PJBWT/001-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sabah,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
PUSAT JAGAAN KASEH SAYANG,pusat-jagaan-kaseh-sayang,,,+60123281811,,,,,Elderly Care,,,,,,,,3.0702031,101.7698111,"http://maps.google.com/?q=3.0702031,	 ,101.7698111,",2026-05-07,,,B/PJB WT 006/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selangor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
PUSAT JAGAAN KASIH ANUGERAH,pusat-jagaan-kasih-anugerah,,,+60122833034,,,,,Elderly Care,,,,,,,,3.0492896,101.7669214,"http://maps.google.com/?q=3.0492896,	 ,101.7669214",2026-05-07,,,B/PJB WT 005/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selangor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Pusat Jagaan Kasih Rohani,pusat-jagaan-kasih-rohani,,,+601111241799,,,,,Elderly Care,,,,,,,,1.5121896753711301,103.74457488289423,"http://maps.google.com/?q=1.5121896753711301, 103.74457488289423",2026-05-07,,,J/PJB WT 020/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
PUSAT JAGAAN KEBAJIKAN WARGA EMAS CHARIS,pusat-jagaan-kebajikan-warga-emas-charis,,,+60173238381,,,,,Elderly Care,,,,,,,,2.83732,101.90823,"http://maps.google.com/?q=2.83732 ,101.90823",2026-05-07,,,N/PJB WT 07/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negeri Sembilan,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Pusat Jagaan Kenneth Care Home (Rodway) PLT,pusat-jagaan-kenneth-care-home-rodway-plt,,,+60163314493,,,,,Elderly Care,,,,,,,,,,"http://maps.google.com/?q=AX ,XX",2026-05-07,,,Q/PJB WT/002/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sarawak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Pusat Jagaan Khang Foo,pusat-jagaan-khang-foo,,,+6052412745,,,,,Elderly Care,,,,,,,,4.5793203,101.0918472,"http://maps.google.com/?q=4.5793203 ,101.0918472",2026-05-07,,,A/PJB WT 048/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Pusat Jagaan Kindhara Sdn Bhd,pusat-jagaan-kindhara-sdn-bhd,,,+601172499508,,,,,Elderly Care,,,,,,,,1.576159856184217,103.81222755433447,"http://maps.google.com/?q=1.576159856184217, 103.81222755433447",2026-05-07,,,J/PJBWE025/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
PUSAT JAGAAN KUANTAN CARE HOME FOR THE AGED,pusat-jagaan-kuantan-care-home-for-the-aged,,,+60199866008,,,,,Elderly Care,,,,,,,,3.8242328309346507,103.34017684447454,"http://maps.google.com/?q=3.8242328309346507, 103.34017684447454",2026-05-07,,,C/PJBWE007/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pahang,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
PUSAT JAGAAN KUANTAN CARE HOME FOR THE AGED (CAWANGAN),pusat-jagaan-kuantan-care-home-for-the-aged-cawang,,,+60199866008,,,,,Elderly Care,,,,,,,,3.8186200316602137,103.34175468189312,"http://maps.google.com/?q=3.8186200316602137, 103.34175468189312",2026-05-07,,,C/PJBWE004/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pahang,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
PUSAT JAGAAN LAMAN KASIH AYDEN,pusat-jagaan-laman-kasih-ayden,,,+60105359914,,,,,Elderly Care,,,,,,,,2.0745776,102.53799,"http://maps.google.com/?q=2.0745776 ,102.53799",2026-05-07,,,J/PJB WT 041/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Pusat Jagaan Laman Kasih Ayden,pusat-jagaan-laman-kasih-ayden,,,+60105359914,,,,,Elderly Care,,,,,,,,2.1111209721989566,102.53207211497782,"http://maps.google.com/?q=2.1111209721989566, 102.53207211497782",2026-05-07,,,J/PJB WT 041/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
